Afghanistan;China
Afghanistan;Iran
Afghanistan;Pakistan
Afghanistan;Tajikistan
Afghanistan;Turkmenistan
Afghanistan;Uzbekistan
Albania;Greece
Albania;Montenegro
Albania;Serbia
Albania;Macedonia
Algeria;Libya
Algeria;Mali
Algeria;Mauritania
Algeria;Morocco
Algeria;Niger
Algeria;Tunisia
Angola;Dem. Rep. Congo
Angola;Congo
Angola;Namibia
Angola;Zambia
Argentina;Bolivia
Argentina;Brazil
Argentina;Chile
Argentina;Paraguay
Argentina;Uruguay
Armenia;Azerbaijan
Armenia;Georgia
Armenia;Iran
Armenia;Turkey
Austria;Czechia
Austria;Germany
Austria;Hungary
Austria;Italy
Austria;Slovakia
Austria;Slovenia
Austria;Switzerland
Azerbaijan;Armenia
Azerbaijan;Georgia
Azerbaijan;Iran
Azerbaijan;Russia
Azerbaijan;Turkey
Bangladesh;India
Bangladesh;Myanmar
Belarus;Latvia
Belarus;Lithuania
Belarus;Poland
Belarus;Russia
Belarus;Ukraine
Belgium;France
Belgium;Germany
Belgium;Luxembourg
Belgium;Netherlands
Belize;Guatemala
Belize;Mexico
Benin;Burkina Faso
Benin;Niger
Benin;Nigeria
Benin;Togo
Bhutan;China
Bhutan;India
Bolivia;Argentina
Bolivia;Brazil
Bolivia;Chile
Bolivia;Paraguay
Bolivia;Peru
Bosnia and Herz.;Croatia
Bosnia and Herz.;Montenegro
Bosnia and Herz.;Serbia
Botswana;South Africa
Botswana;Namibia
Botswana;Zambia
Botswana;Zimbabwe
Brazil;Argentina
Brazil;Bolivia
Brazil;Colombia
Brazil;Guyana
Brazil;Paraguay
Brazil;Peru
Brazil;Suriname
Brazil;Uruguay
Brazil;Venezuela
Brunei;Malaysia
Bulgaria;Greece
Bulgaria;Macedonia
Bulgaria;Romania
Bulgaria;Serbia
Bulgaria;Turkey
Burkina Faso;Benin
Burkina Faso;Côte d'Ivoire
Burkina Faso;Ghana
Burkina Faso;Mali
Burkina Faso;Niger
Burkina Faso;Togo
Burundi;Dem. Rep. Congo
Burundi;Rwanda
Burundi;Tanzania
Cambodia;Laos
Cambodia;Thailand
